order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
462516,309485,Jennifer Vasquez,698812,Baby Lotion,Baby Products,CreditCard,74,694.01,2023-12-15 04:43,India,Delhi,www.shopify.com,16199d19,N,Payment Declined
909326,470324,Rebecca Juarez,17687,Comic Book,Books,Wallet,2,1486.1,2023-10-04 03:51,Japan,Yokohama,www.target.com,5b27bb75,Y,
437035,668712,Courtney Lopez,178784,Bluetooth Speaker,Electronics,CreditCard,96,801.62,2024-07-29 09:43,Canada,Calgary,www.flipkart.com,80d80cc9,Y,
731011,375473,Kevin Brown,97969,Headphones,Electronics,Wallet,88,1626.26,2024-07-03 05:57,Australia,Adelaide,www.shopify.com,679c57f5,Y,
526462,34023,Stacey Austin,239897,Comic Book,Books,NetBanking,-48,2662.92,2024-01-08 06:42,Canada,Montreal,www.bestbuy.com,f254cede,Error,Expired Card
18083,278130,Jennifer Cardenas,792725,Diapers,Baby Products,UPI,27,1405.79,2024-08-22 22:21,Canada,Ottawa,www.bestbuy.com,50740344,Y,
485062,761812,Joshua Mcdonald,619249,Stapler,Office Supplies,NetBanking,70,994.22,2024-02-12 06:31,Japan,Tokyo,www.target.com,edfaf688,N,Payment Declined
497161,214423,Steve Davenport,828076,Fitness Tracker,Fitness & Sports,CreditCard,-50,3173.59,2024-02-28 00:23,India,Bengaluru,www.shopify.com,75790b5f,Failure,Insufficient Funds
872637,430891,Ashley Nichols,28048,Sneakers,Fashion,CreditCard,30,1574.23,2024-07-09 03:59,Canada,Ottawa,www.flipkart.com,82e18903,Y,
469594,553291,Tom Serrano,459595,Smartphone,Electronics,Wallet,46,1410.83,2024-03-01 16:20,Canada,Montreal,www.shopify.com,860a5c9f,N,Transaction Timeout
392667,145955,Michael Soto,3847,Smartwatch,Electronics,CreditCard,-74,1145.51,2023-12-15 11:42,India,Delhi,www.target.com,34f3ebe1,Failure,Insufficient Funds
578790,174677,Sara Young,313060,Smartphone,Electronics,Wallet,34,1715.79,2024-01-11 00:31,Australia,Sydney,www.walmart.com,7e7ce034,N,Insufficient Funds
385271,35981,Joseph Bentley,336731,Organic Rice,Groceries,NetBanking,1,584.03,2024-04-14 08:20,India,Delhi,www.shopify.com,502d93f5,N,Transaction Timeout
568615,390905,Shelby Davis,926915,Whiteboard,Office Supplies,NetBanking,29,623.35,2024-06-20 13:33,India,Hyderabad,www.target.com,60a7ddb0,Y,
752100,132650,Stephen Evans PhD,530438,Watering Can,Garden & Outdoors,NetBanking,3,624.63,2024-01-28 11:01,India,Delhi,www.bestbuy.com,292da49d,Y,
